대분류,소분류,그레이,화이트,블루
VIP석,,50000,60000,65000
으뜸병원 중앙테이블석,,45000,55000,60000
1·3루 테이블석,,40000,50000,55000
1·3루 익사이팅,,22000,27000,30000
블루존,,19000,22000,25000
3루 내야지정석,,15000,17000,19000
원정응원석,,19000,22000,25000
1루 내야지정석,,10000,13000,14000
SKY 패밀리존·4인,,140000,180000,200000
SKY 블루존,일반,10000,12000,15000
SKY 블루존,어린이/청소년/경로/장애인 등,7000,9000,12000
SKY 하단 지정석,일반,10000,11000,13000
SKY 하단 지정석,어린이/청소년/경로/장애인 등,7000,8000,10000
1·3루 SKY 상단 지정석,일반,8000,9000,11000
1·3루 SKY 상단 지정석,어린이/청소년/경로/장애인 등,5000,6000,8000
중앙 SKY 상단 지정석,일반,9000,10000,12000
중앙 SKY 상단 지정석,어린이/청소년/경로/장애인 등,6000,7000,9000
외야지정석,일반,9000,10000,11000
외야지정석,어린이/청소년/경로/장애인 등,6000,7000,8000
외야패밀리석,,18000,20000,23000
외야테이블석·4인,,72000,80000,92000
외야테이블석·8인,,144000,160000,184000
외야커플테이블석·2인,,30000,36000,40000
루프탑테이블석,,20000,23000,25000
파티플로어 라이브석,,65000,70000,75000
잔디그린존,,10000,11000,13000
캠핑존·6인,,180000,240000,270000
장애인(휠체어)석,,5000,5000,5000